"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"98","990050746940603392","9785389047488","2016","Kafka, Franz","rus","Amerika","<<Der>> Verschollene","Sankt-Peterburg","XA-RU","onb990050746940603392"
"99","9958491071603338","9788686599339","2016","Kafka, Franz","srp","Amerika","<<Der>> Verschollene","Beograd","XA-RS","onb9958491071603338"
"100","9958510476503338","9789750706646","2017","Kafka, Franz","tur","Amerika","<<Der>> Verschollene","Istanbul","XB-TR","onb9958510476503338"
"101","990055738990603392","9789056725747","2017","Meyerhoff, Joachim","dut","Amerika","Amerika","Amsterdam","XA-NL","onb990055738990603392"
"102","9958882341403338","9789029544481","2021","Menasse, Robert","dut","De Amerikaanse bril","Ich kann jeder sagen","Amsterdam","XA-NL","onb9958882341403338"
"106","9958798577703338","9786190206118","2020","Zweig, Stefan","bul","Amok i drugi noveli","fail","Sofija","XA-BG","onb9958798577703338"
"107","9958522572903338","9788763854702","2018","Zweig, Stefan","dan","Amok","Amok","København","XA-DK","onb9958522572903338"
"108","990049507370603392","9789605051235","2014","Zweig, Stefan","gre","Amok kai alles nubeles","<<Der>> Amokläufer","Athēna","XA-GR","onb990049507370603392"
"109","9958504675403338","9789750735196","2018","Zweig, Stefan","tur","Amok koşucusu","<<Der>> Amokläufer","Istanbul","XB-TR","onb9958504675403338"
"110","9958504373803338","9786055063122","2016","Zweig, Stefan","tur","Amok koşucusu","fail","Kızılay, Ankara","XB-TR","onb9958504373803338"
"111","990047578110603392","9788683967599","2015","Zweig, Stefan","srp","Amok","Amok","Beograd","XA-SP","onb990047578110603392"
"112","990049819670603392","9789187891205","2015","Zweig, Stefan","swe","Amok","Amok","Stockholm","XA-SE","onb990049819670603392"
"114","9959003705703338","9789500373722","2020","Zweig, Stefan","spa","Amok","<<Der>> Amokläufer","Buenos Aires","XD-AR","onb9959003705703338"
"115","9958803572703338","9789500372640","2016","Zweig, Stefan","spa","El amor de Erika Ewald y otros relatos","<<Die>> Liebe der Erika Ewald","Buenos Aires, Argentina","XA-ES","onb9958803572703338"
"116","990043095640603392","9782330009373","2013","Setz, Clemens J.","fre","L'amour au temps de l'enfant de Mahlstadt","<<Die>> Liebe zur Zeit des Mahlstädter Kindes","[Paris]","XA-FR","onb990043095640603392"
"117","9958512650803338","9788679581341","2017","Bernhard, Thomas","srp","Amras","Amras","Beograd","XA-RS","onb9958512650803338"
"118","990045174280603392","9789750825750","2013","Bernhard, Thomas","tur","Amras","Amras","Beyoğlu, İstanbul","XB-TR","onb990045174280603392"
"119","9958802876403338","9784309207834","2019","Bernhard, Thomas","jpn","Amurasu = Amras","Amurasu","Tōkyōto","XB-JP","onb9958802876403338"
"121","990047071060603392","9789542915089","2011","Schnitzler, Arthur","bul","Anatol","fail","Sofija","XA-BG","onb990047071060603392"
"122","9958947404803338","9788662633316","2020","Schnitzler, Arthur","srp","Anatol","Anatol","Novi Sad","XA-RS","onb9958947404803338"
"124","990046460820603392","9788323337966","2014","Kim, Anna","pol","Anatomia pewnej nocy","Anatomie einer Nacht","Kraków","XA-PL","onb990046460820603392"
"125","990047176710603392","9782330034368","2014","Kim, Anna","fre","Anatomie d'une nuit","Anatomie einer Nacht","Paris","XA-FR","onb990047176710603392"
"127","9958564356203338","9786185101824","2019","Hackl, Erich","gre","Anaxētōntas tē Zintoni","Abschied von Sidonie","Athen","XA-GR","onb9958564356203338"
"129","990050085920603392","9788087341339","2016","Haderlap, Maja","cze","Anděl zapomnění","Engel des Vergessens","Praha","XA-CZ","onb990050085920603392"
"136","9958949305903338","9788793629998","2022","Handke, Peter","dan","Det andet sværd","<<Das>> zweite Schwert","Roskilde Bogcafé","XA-DK","onb9958949305903338"
"137","990050082380603392","9789198199505","2014","Celan, Paul","swe","Andningsvändning","Atemwende","Göteborg","XA-SE","onb990050082380603392"
"138","9958893241703338","9788283830750","2020","Handke, Peter","nor","Det andre sverdet","<<Das>> zweite Schwert","Stavanger","XA-NO","onb9958893241703338"
"139","9958493280603338","9789985797051","2016","Hofmannsthal, Hugo ","est","Andreas, ehk, Ühekssaanud","Andreas","[Tallinn]","XA-EE","onb9958493280603338"
"140","9958779067403338","9789600517750","2020","Handke, Peter","gre","Anemelē dystychia","Wunschloses Unglück","Athēna","XA-GR","onb9958779067403338"
"141","9958566971903338","9788416291847","2019","Haderlap, Maja","spa","El ángel del olvido","Engel des Vergessens","Cáceres","XA-ES","onb9958566971903338"
"142","990049828090603392","9780914671466","2016","Haderlap, Maja","eng","Angel of oblivion","Engel des Vergessens","Brooklyn","XD-US","onb990049828090603392"
"143","990038606910603392","9781903517819","2010","Meyrink, Gustav","eng","The angel of the west window","<<Der>> Engel vom westlichen Fenster","Sawtry","XA-GB","onb990038606910603392"
"144","990047994430603392","9789616780742","2014","Haderlap, Maja","slv","Angel pozabe","Engel des Vergessens","Maribor","XA-SI","onb990047994430603392"
"145","990048054670603392","9788889767597","2014","Haderlap, Maja","ita","L' angelo dell'oblio","Engel des Vergessens","Rovereto (Tn)","XA-IT","onb990048054670603392"
"148","990027896430603392","9780691144979","2010","Eich, Günter","eng","Angina days","fail","Princeton, NJ [u.a.]","XD-US","onb990027896430603392"
"150","9958564967503338","9788836815944","2017","Zweig, Stefan","ita","Angoscia","Angst","Bagno a Ripoli (Firenze)","XA-IT","onb9958564967503338"
"152","9958864544003338","9788024271965","2021","Poznanski, Ursula","cze","Ani mrtvá, ani živá","Vanitas - schwarz wie Erde","Praha","XA-CZ","onb9958864544003338"
"157","9958880443303338","9789928292841","2021","Handke, Peter","alb","Ankthi i portierit para penalltisë","<<Die>> Angst des Tormanns beim Elfmeter","Tirana","XA-AL","onb9958880443303338"
"160","990043059330603392","9788872231654","2011","Flöss, Helene","ita","Anni secchi","Dürre Jahre","Merano","XA-IT","onb990043059330603392"
"161","9958505273103338","9788871865195","2013","Handke, Peter","ita","Un anno parlato dalla notte","<<Ein>> Jahr aus der Nacht gesprochen","Bergamo","XA-IT","onb9958505273103338"
"162","9958510476403338","9788809849204","2018","Poznanski, Ursula","ita","Anonimo","Anonym","Firenze","XA-IT","onb9958510476403338"
"163","9958837254803338","9788024263779","2020","Poznanski, Ursula","cze","Anonymita","Anonym","Praha","XA-CZ","onb9958837254803338"
"164","9958573156403338","9789188253651","2019","Bernhard, Thomas","swe","Anstöt","Verstörung","Stockholm","XA-SE","onb9958573156403338"
"165","990050770530603392","9789602834510","2016","Schnitzler, Arthur","gre","O anthypolochagos Gkustl","Lieutenant Gustl","Athēna","XA-GR","onb990050770530603392"
"168","990048032960603392","9788494098543","2013","Roth, Joseph","spa","El Anticristo","<<Der>> Antichrist","Madrid","XA-ES","onb990048032960603392"
"169","9958545563203338","9788799617289","2018","Rezzori, Gregor ","dan","En antisemits erindringer","Denkwürdigkeiten eines Antisemiten","København","XA-DK","onb9958545563203338"
"170","990048056090603392","9789186729066","2012","Rezzori, Gregor ","swe","En antisemits memoarer","Denkwürdigkeiten eines Antisemiten","Stockholm","XA-SE","onb990048056090603392"
"171","9958941600803338","9788382091793","2022","fail","pol","Antologia niemieckiej poezji klasycznej od średniowiecza do Celana","fail","Warszawa","XA-PL","onb9958941600803338"
"176","9958899915303338","9789606381508","2021","Bachmann, Ingeborg","gre","Apanta ta poiēmata","Ich weiß keine bessere Welt","Athēna","XA-GR","onb9958899915303338"
"177","9958807673003338","9789606380778","2019","Bernhard, Thomas","gre","Apanta ta poiēmata","Gedichte","Athēna","XA-GR","onb9958807673003338"
"178","9958803358703338","9786185370138","2018","Bernhard, Thomas","gre","Aphanismos","Auslöschung","[Athēna]","XA-GR","onb9958803358703338"
"179","990049603350603392","9788074850745","2016","EbnerEschenbach, Marie ","ger","Aphorismen","fail","Brno","XA-CZ","onb990049603350603392"
"181","9958803571603338","9786185370169","2018","Bernhard, Thomas","gre","O apotychēmenos","<<Der>> Untergeher","[Athēna]","XA-GR","onb9958803571603338"
"182","990050272760603392","9788806221232","2016","Bernhard, Thomas","ita","L' apparenza inganna","fail","Torino","XA-IT","onb990050272760603392"
"183","9958537558403338","9782919376520","2017","Härtling, Peter","fre","Apprendre le chant des oiseaux","fail","[Thonon-les-Bains]","XA-FR","onb9958537558403338"
"187","990051186250603392","9788490651643","2016","Rilke, Rainer Maria","spa","Los apuntes de Malete Laurids Brigge","<<Die>> Aufzeichnungen des Malte Laurids Brigge","Barcelona","XA-ES","onb990051186250603392"
"190","990046176470603392","9789934042225","2014","Kubelka, Susanna","lav","Ardievu, Vine - sveika, Parize!","Adieu Wien - Bonjour Paris","Riga","XA-LV","onb990046176470603392"
"191","990048235470603392","9781939739230","2014","Hackl, Erich","eng","Argentina's angel","Als ob ein Engel","Portsmouth, NH","XA-GB","onb990048235470603392"
"193","9958620880103338","9786176142416"," ","Celan, Paul","ukr","Arija snihu","fail","fail","XA-UA","onb9958620880103338"
"195","9958976303303338","9786555250763","2021","Celan, Paul","por","Ar-reverso","Atemwende","São Paulo","XA-PT","onb9958976303303338"
"198","9958799959403338","9784105901585","2019","Seethaler, Robert","jpn","Aru isshō","<<Ein>> ganzes Leben","Tōkyōto","XB-JP","onb9958799959403338"
"200","990038164520603392","9788495291165","2010","Bernhard, Thomas","spa","Así en la tierra como en el infierno","Auf der Erde und in der Hölle","Segovia","XA-ES","onb990038164520603392"
"201","9958947493703338","9786257650014","2022","Jelinek, Elfriede","tur","Âşık kadınlar","<<Die>> Liebhaberinnen","İstanbul","XB-TR","onb9958947493703338"
"202","9958582473903338","9788680912110","2017","Hamerling, Robert","srp","Aspasija","Aspasia","Beograd","XA-RS","onb9958582473903338"
"205","9958827079003338","9788490271612","2020","Handke, Peter","baq","Atezainaren larria penalti-jaurtiketan","<<Die>> Angst des Tormanns beim Elfmeter","Donostia","XA-ES","onb9958827079003338"
"206","990049218130603392","9788807031687","2015","Ransmayr, Christoph","ita","Atlante di un uomo irrequieto","Atlas eines ängstlichen Mannes","Milano","XA-IT","onb990049218130603392"
"207","990049736940603392","9789533400358","2016","Ransmayr, Christoph","hrv","Atlas bojažljiva čovjeka","Atlas eines ängstlichen Mannes","Zagreb","XA-HR","onb990049736940603392"
"208","9958493262903338","9782253073017","2017","Ransmayr, Christoph","fre","Atlas d'un homme inquiet","Atlas eines ängstlichen Mannes","Paris","XA-FR","onb9958493262903338"
"209","990048739920603392","9782226317100","2015","Ransmayr, Christoph","fre","Atlas d'un homme inquiet","Atlas eines ängstlichen Mannes","Paris","XA-FR","onb990048739920603392"
"210","990049184190603392","9788365125279","2016","Ransmayr, Christoph","pol","Atlas lękliwego mężczyzny","Atlas eines ängstlichen Mannes","Wrocław","XA-PL","onb990049184190603392"
"211","990048834680603392","9789549621648","2015","Ransmayr, Christoph","bul","Atlas na edin bojazliv măz","Atlas eines ängstlichen Mannes","Sofija","XA-BG","onb990048834680603392"
"212","9958575280503338","9780857426314","2018","Ransmayr, Christoph","eng","Atlas of an anxious man","Atlas eines ängstlichen Mannes","London","XA-GB","onb9958575280503338"
"213","990049205310603392","9780857423146","2016","Ransmayr, Christoph","eng","Atlas of an anxious man","Atlas eines ängstlichen Mannes","London","XA-GB","onb990049205310603392"
"214","990047192450603392","9789044624809","2014","Ransmayr, Christoph","dut","Atlas van een bange man","Atlas eines ängstlichen Mannes","Amsterdam","XA-NL","onb990047192450603392"
"216","9958562469003338","9789632276571","2018","Kafka, Franz","hun","Az átváltozás","fail","Budapest","XA-HU","onb9958562469003338"
"217","990038391550603392","9782742799350","2011","Walser, Alissa","fre","Au commencement la nuit était musique","Am Anfang war die Nacht Musik","Arles","XA-FR","onb990038391550603392"
"222","990038621860603392","9789896231422","2011","Canetti, Elias","por","Auto-de-fé","<<Die>> Blendung","[Lisboa]","XA-PT","onb990038621860603392"
"223","990046768010603392","9786066090315","2011","Löhr, Robert","rum","Automatul de şah","<<Der>> Schachautomat","Bucureşti","XA-RO","onb990046768010603392"
"225","9958862856803338","9789172476059","2021","Bernhard, Thomas","swe","Ave Vergilius","Ave Vergil","[Lund]","XA-SE","onb9958862856803338"
"226","990051183900603392","9788823517349","2017","Bernhard, Thomas","ita","Ave Virgilio","Ave Vergil","Milano","XA-IT","onb990051183900603392"
"232","990037882470603392","9788492683260","2010","Handke, Peter","spa","Los avispones","<<Die>> Hornissen","Madrid","XA-ES","onb990037882470603392"
"233","990043941450603392","9789461641649","2012","Haushofer, Marlen","dut","De avonturen van kater Balthazar","Bartls Abenteuer","Amsterdam","XA-NL","onb990043941450603392"
"235","990045019830603392","9781564787941","2012","Jonke, Gert","eng","Awakening to the great sleep war","Erwachen zum großen Schlafkrieg","Champaign, Ill. [u.a.]","XD-US","onb990045019830603392"
"238","990050079650603392","9786191506989","2016","Kehlmann, Daniel","bul","Az i Kaminski","Ich und Kaminski","Sofija","XA-BG","onb990050079650603392"
"241","990044911480603392","9788360699195","2013","Jelinek, Elfriede","pol","Babel","Babel","Warszawa","XA-PL","onb990044911480603392"
"242","990057720210603392","9786197362077","2017","Vögel, Stefan","bul","Băbrekăt","<<Die>> Niere","Sofija","XA-BG","onb990057720210603392"
"243","9958964601303338","9789605864088","2022","Bernhard, Thomas","gre","Badizontas","Gehen","Athēna","XA-GR","onb9958964601303338"
"244","990049633330603392","9789542915805","2015","Kehlmann, Daniel","bul","Bădni večer","Heilig Abend","Sofija","XA-BG","onb990049633330603392"
"245","9958269787403338","9788771512120","2017","Kaiser, Vea","dan","Bændelorm og hornmusik eller Da videnskaben kom til bjergene","Blasmusikpop","[København]","XA-DK","onb9958269787403338"
"247","9958822279403338","9789046827550","2020","Helfer, Monika","dut","De bagage","<<Die>> Bagage","[Amsterdam]","XA-NL","onb9958822279403338"
"248","9958911234003338","9789188753403","2021","Helfer, Monika","swe","Bagaget","<<Die>> Bagage","Göteborg","XA-SE","onb9958911234003338"
"250","9958812076303338","9788416537525","2019","Geiger, Arno","spa","Bajo el muro del dragón","Unter der Drachenwand","Xixón","XA-ES","onb9958812076303338"
"261","990048370800603392","9788090599925","2014","Jelinek, Elfriede","cze","Bambiland","Bambiland","Praha","XA-CZ","onb990048370800603392"
"264","9958537558003338","9788845294808","2018","Köhlmeier, Michael","ita","La bambina con il ditale","<<Das>> Mädchen mit dem Fingerhut","Firenze - Italia","XA-IT","onb9958537558003338"
"265","9959003706703338","9788834612811","2022","Setz, Clemens J.","ita","I bambini indaco","Indigo","Milano","XA-IT","onb9959003706703338"
"270","9958954206703338","9789028212404","2021","LernetHolenia, Alexander","dut","Baron Bagge","fail","Amsterdam","XA-NL","onb9958954206703338"
"271","990047420790603392","9782918823087","2015","Suttner, Bertha ","fre","Bas les armes!","<<Die>> Waffen nieder!","Levallois-Perret (Haute-Seine)","XA-FR","onb990047420790603392"
"273","9958993805303338","9786051858463","2022","Menasse, Robert","tur","Başkent","<<Die>> Hauptstadt","Cağaloğlu/İstanbul","XB-TR","onb9958993805303338"
"274","990057704300603392","9788086911489","2016","Hadwiger, Viktor","cze","Básně","fail","Praha","XA-CZ","onb990057704300603392"
"275","990049593790603392","9788074850752","2016","EbnerEschenbach, Marie ","cze","Básnířka dvou srdcí, aneb, Zdislavice a Vídeň","fail","Brno","XA-CZ","onb990049593790603392"
"278","990050075140603392","9786059908559","2015","Baronsky, Eva","tur","Bay Mozart uyanıyor","Herr Mozart wacht auf","İstanbul","XB-TR","onb990050075140603392"
"279","9958802768103338","9789463384537","2018","Schnitzler, Arthur","dut","Beate en haar zoon","Frau Beate und ihr Sohn","Soesterberg","XA-NL","onb9958802768103338"
"281","990050082410603392","9788874628292","2016","Handke, Peter","ita","I bei giorni di Aranjuez","<<Die>> schönen Tage von Aranjuez","Macerata","XA-IT","onb990050082410603392"
"283","990049336120603392","9789632635613","2016","Bernhard, Thomas","hun","Békétlenség haszonbérbe","Békétlenség haszonbérbe","Budapest","XA-HU","onb990049336120603392"
"284","990048767310603392","9788680274010","2015","Meyrink, Gustav","srp","Beli dominikanac","<<Der>> weiße Dominikaner","Beograd","XA-SP","onb990048767310603392"
"285","990057733710603392","9789542915430","2013","Vögel, Stefan","bul","Bella Donna","fail","Sofija","XA-BG","onb990057733710603392"
"290","9958807467803338","9789955294320","2020","Werfel, Franz","lit","Bernadetos giesmė","<<Das>> Lied von Bernadette","Vilnius","XA-LT","onb9958807467803338"
"292","990037444380603392","9789100123918","2010","Kehlmann, Daniel","swe","Berömmelse","Ruhm","[Stockholm]","XA-SE","onb990037444380603392"
"296","9958599477103338","9789898866677","2019","Bernhard, Thomas","por","Betão","Beton","Lisboa","XA-PT","onb9958599477103338"
"297","990047589290603392","9788679580948","2014","Bernhard, Thomas","srp","Beton","Beton","Beograd","XA-SP","onb990047589290603392"
"299","9958945304903338","9789493186491","2022","Bernhard, Thomas","dut","Beton","Beton","[Bleiswijk]","XA-NL","onb9958945304903338"
"300","9958822579303338","9789549621778","2020","Bernhard, Thomas","bul","Beton","Beton","Sofija","XA-BG","onb9958822579303338"
"307","9958800064503338","9788378662396","2020","Roth, Joseph","pol","Białe Miasta","fail","Kraków","XA-PL","onb9958800064503338"
"309","990042373920603392","9789632632384","2012","Glauser, Friedrich","hun","A bicikliküllő","Krock & Co. <<ungar.>>","Budapest","XA-HU","onb990042373920603392"
"310","9958599478603338","9789020415179","2016","Roth, Joseph","dut","Biecht van een moordenaar, verteld in één nacht","Beichte eines Mörders, erzählt in einer Nacht","Amsterdam","XA-NL","onb9958599478603338"
"312","990048655610603392","9789059365315","2015","Flašar, Milena Michiko","dut","Een bijna volmaakte vriendschap","Ich nannte ihn Krawatte","Amsterdam","XA-NL","onb990048655610603392"
"313","9958493248803338","9782330081584","2017","Winkler, Katharina","fre","Les bijoux bleus","Blauschmuck","Arles","XA-FR","onb9958493248803338"
"315","990044704710603392","9786053751007","2013","Broch, Hermann","tur","Bilinmeyen değer","<<Die>> unbekannte Größe","Kadıköy, İstanbul","XB-TR","onb990044704710603392"
"317","9958558953803338","9786053329527","2019","Zweig, Stefan","tur","Bir çöküşün öyküsü","Geschichte eines Untergangs","İstanbul","XB-TR","onb9958558953803338"
"318","990051014880603392","9786051213965","2016","Gruber, Sabine","tur","Bir gecede","Über Nacht","Ankara","XB-TR","onb990051014880603392"
"320","9958558924803338","9786053324225","2019","Zweig, Stefan","tur","Bir kadının yaşamından yirmi dört saat","Vierundzwanzig Stunden aus dem Leben einer Frau","İstanbul","XB-TR","onb9958558924803338"
"321","9958493280503338","9786052980835","2017","Kafka, Franz","tur","Bir kardeş cinayeti","<<Ein>> Brudermord","İstanbul","XB-TR","onb9958493280503338"
"322","9958508480703338","9789750710728","2017","Kafka, Franz","tur","Bir kavganın tasviri","fail","Galatasaray, İstanbul","XB-TR","onb9958508480703338"
"324","990046862970603392","9789029589529","2014","Kaiser, Vea","dut","Blaasmuziekpop","Blasmusikpop","Amsterdam [u.a.]","XA-NL","onb990046862970603392"
"325","990049120300603392","9782253098690","2016","Elsberg, Marc","fre","Black-out","Blackout","Paris","XA-FR","onb990049120300603392"
"326","990047585110603392","9782371190146","2015","Elsberg, Marc","fre","Black-out","Blackout","Paris","XA-FR","onb990047585110603392"
"328","990050328160603392","9782266268943","2017","Kaiser, Vea","fre","Blasmusikpop","Blasmusikpop oder wie die Wissenschaft in die Berge kam","[Paris]","XA-FR","onb990050328160603392"
"329","990048244980603392","9782258113374","2015","Kaiser, Vea","fre","Blasmusikpop ou comment un ver solitaire changea le monde","Blasmusikpop oder wie die Wissenschaft in die Berge kam","[Paris]","XA-FR","onb990048244980603392"
"330","9958799959203338","9786063803208","2019","Winkler, Katharina","ger","Blauschmuck","Blauschmuck","Bucureşti, România","XA-RO","onb9958799959203338"
"331","990050082460603392","9788081018664","2015","Menasse, Robert","slo","Blažené časy, krehký svet","Selige Zeiten, brüchige Welt","Bratislava","XA-SK","onb990050082460603392"
"332","9958504675503338","9789460014581","2016","Werfel, Franz","dut","Het bleekblauwe handschrift van een vrouw","<<Eine>> blassblaue Frauenschrift","Antwerpen","XA-BE","onb9958504675503338"
"333","9958870051703338","9785041055592","2019","Elsberg, Marc","rus","Blėkaut","Blackout","Moskva","XA-RU","onb9958870051703338"
"334","990037442840603392","9782354390280","2010","Ausländer, Rose","ger","Blinder Sommer","fail","Baume-les-Dames","XA-FR","onb990037442840603392"
"335","9958492063303338","9789059374096","2015","Roth, Joseph","dut","De blonde neger en andere portretten","fail","Amsterdam","XA-NL","onb9958492063303338"
"336","9958910323803338","9781608011872","2020","fail","eng","Blossoms in snow","fail","New Orleans, Louisiana","XD-US","onb9958910323803338"
"337","9958965495903338","9781803090023","2022","Winkler, Katharina","eng","Blue jewellery","Blauschmuck","London","XA-GB","onb9958965495903338"
